"id","participant_id","age_group","gender","education_level","digital_usage","suspicious_confidence","qual1","qual2","qual3","qual4","cyber_training","submitted_at"
"1","CQ_69e0a780e7c9d8.63775195","25-34","Male","College / Sixth Form","Almost constantly","Very confident","The sender address and content of the email","Usually incompetency or lack of IT literacy. ","Whether I was expecting it or not.","If not expecting it I usually ignore, but it sometimes depends on who it was from, assuming the sender address is legitimate.","Yes, informal guidance","2026-04-16 09:13:16"
"2","CQ_69ea1d986e0a06.73371748","35-44","Female","Undergraduate degree","Several times a day","Moderately confident","Strange email address or the content being sent.","They don't read what's on the screen and technical literacy","The source and the content","Quick read of the content, check the email address and whether or not I'm expecting it.","No","2026-04-23 13:27:46"
"3","CQ_69eb426a73fa27.86993727","45-54","Male","Postgraduate degree","Almost constantly","Very confident","A","A","A","A","Yes, formal training","2026-04-24 10:16:25"
"4","CQ_69eb568b9a13e4.29231270","35-44","Male","Postgraduate degree","Several times a day","Moderately confident","Bad spelling, appearing out of nowhere without prior reason to, psychological pressures within the message. ","Often due to convenience or possibly due to lack of knowledge.  ","Email address and information within the message is consistent with others from a trusted organisation, when it seems plausible to receive a message, when a message is sent in response to an actual event. ","If I have seen that the information seems legitimate and appears to have come from a reputable person or organisation and that the details all 'line up'","Yes, formal training","2026-04-24 11:45:51"
"5","CQ_69eb5988dd8131.07055146","25-34","Female","College / Sixth Form","Almost constantly","Very confident","Things asking you to follow a link, asking for bank details, a slight variation in the email ","Pressure, stress, over confidence ","Expected email, not asking to follow a link, asking you to contact them so you can go through security questions etc","The body of the email and what it is asking","No","2026-04-24 11:56:21"
"6","CQ_69eb5a15ca76b5.64671912","25-34","Male","Undergraduate degree","Almost constantly","Very confident","Unexpected messages / e-mails, those with links are even more so suspicious. E-mails claiming to be from one party but the e-mail address being something different. ","Attackers / bad actors only need to get a very small percentage of their target pool to click / take action. They can cast very wide nets and see who gets tricked, their targets need to be right 100% of the time to not become a victim.","For most services, if it isn't already flagged as spam I'm more likely to take the time to read it, and from there it depends on if I know the person / company and if it reads as a legitimate message or something likely spammy.","By default I ignore, I'll only reply if the message seems legitimate and actually needs a reply. If in doubt and I know who the person is I'll contact them through another channel to confirm that they tried to reach me.","Yes, formal training","2026-04-24 12:00:59"
"7","CQ_69eb5b6df2ba88.75091842","35-44","Female","Secondary school or equivalent","Almost constantly","Moderately confident","too good to be true emails. Dodgy emails.","Lack of understanding ","Email address and content. Not asking for payment/money","Type of message and who it is from. If I am unsure I will google to check on scams etc.","No","2026-04-24 12:04:20"
"8","CQ_69eb5eb35f8b01.14387154","25-34","Male","Secondary school or equivalent","Almost constantly","Moderately confident","Vague, strange wording, weird email address. Just different from emails you get regularly from people you know. ","Mental fatigue, laps in concentration, lack of training or knowing what to look out for ","Knowing the email address. Them not asking me for something â€˜out of the normâ€™. Usually visually the format tends to look â€˜offâ€™. ","If in doubt. Iâ€™ll ignore it or contact the person directly if I know them to check its validity. ","Yes, informal guidance","2026-04-24 12:18:30"
"9","CQ_69eb5bdd678522.83480570","45-54","Male","Postgraduate degree","Several times a day","Very confident","Unexpected message or request
Unusual message or request
Urgency
Unknown sender
Embedded URLs
Sender ID (e.g. e-mail address) not fitting purported sender","Lack of experience and technical knowledge
Wrong assessment of online context
Misidentification
Tiredness/hurriedness/stress
","Triggered by my own actions
Trusted sender and correct ID
","Relevance to me
Trustworthiness
Time availability","Yes, formal training","2026-04-24 12:18:31"
"10","CQ_69eb6410df1c16.20235651","25-34","Female","College / Sixth Form","Several times a day","Moderately confident","Weird email
Badly written/spelt words","Because they are naive and think everything the see is real. Have no online safety skills. ","Correct grammar & English. The way it looks in general, if it looks gaudy and flashy then it's probably fake. ","How it came up, if it comes up as a separate website. ","Unsure","2026-04-24 12:48:18"
"11","CQ_69eb7332279ee5.61389614","18-24","Male","Other","Almost constantly","Very confident","Urgency, unexpected message, suspicious links, headers/metadata not adding up","Promise of reward, urgency, not understanding what they are looking at","Official emails with details confirming its legitimacy, reaching out to the sender to confirm","Often ignore to be on the safe side, generally only reply to messages that I am expecting and are clearly not trying to get anything from me.","Yes, formal training","2026-04-24 13:46:10"
"12","CQ_69eb742b3463d8.41648203","25-34","Male","Postgraduate degree","Almost constantly","Very confident","- incorrect email address or spelling mistake 
- Basic / simple signature 
- incorrecti inconsistent format/ font","People have want a quick answer soltuion so click links if needed 

General lack of knowledge 

Thinking evrything online is safe ","Email search bar has security lock

Proper signature with some advertising confidentiality laws 

No spelling misatakes 

Verified email address ","Relevance 

Know if it something you requested 

If its demanding personal details or money - ignore","Yes, formal training","2026-04-24 13:53:18"
"13","CQ_69eb74351912b6.40379520","25-34","Male","Undergraduate degree","Almost constantly","Very confident","Requests to preform a action with a link. Names acconts I haven't used or didn't set up. Coming from unknown number.","Time pressure, want to get on with their day, taking the most convenient option ","Detailed instructions, no link, known/registered number","Trust the sender, needs my input, expect the communication ","Yes, formal training","2026-04-24 13:54:18"
"14","CQ_69eb768b3c75e0.43572671","18-24","Male","Undergraduate degree","Almost constantly","Very confident","Poor grammar, unexpected messages, random email addresses, no name in email, link in message","A lack of awareness of types of threats to them, or a belief that they would not be targeted","My name in the message, information that the company should know, MFA for logins, no links in messages but rather directing you to where to go instead","If the message asks for an action, double checking the validity of the action (is it actually something that I was expecting to be asked to do). If the message does not contain my name then a response is very unlikely.","Yes, formal training","2026-04-24 14:00:56"
"15","CQ_69ebab5f5dd333.88683556","35-44","Female","College / Sixth Form","Several times a day","Slightly confident","When the email address is made up of random letters, number etc and the message or email doesnâ€™t have my name on it.","Do not realise how good scammers are?! ","If I have bought something from the company in the past","I ignore most requests/ emails/ texts etc ","No","2026-04-24 17:48:16"
"16","CQ_69ebc8c943cca5.95302475","18-24","Male","College / Sixth Form","Almost constantly","Very confident","If a message is unexpected, unrelated to me, too good to be true, not tailored to me(could be sent in batch) or from an unfamiliar domain","Convenience. It's faster to not have MFA or different passwords for different accounts. Security takes up time that people usually want to be doing over things. Taking the time to scrutinise an email might feel wasted","If I'm expecting it, if it comes from an email address or domain that I have received legitimate emails from in the past, if it only directs to me to go a website instead of providing a link","I assess whether it seems legitimate, whether I have good reason to respond to the message ","Yes, formal training","2026-04-24 19:53:42"
"17","CQ_69ec6b40830a17.03060548","25-34","Female","Undergraduate degree","Several times a day","Moderately confident","Typos","Not enough awareness","Certificate symbol on websites. No typos in url","By analysing the contents of the message","Yes, formal training","2026-04-25 07:22:23"
"18","CQ_69ec9b4bc7dc00.40147809","25-34","Female","Undergraduate degree","Several times a day","Very confident","Unknown number or broken text or lack of personalisation or correct grammar ","Ignorance or misunderstanding ","Anything with a two factor authentication from the alleged company ","I often ignore regardless ","No","2026-04-25 10:47:53"
"19","CQ_69ec9b621d3ca3.89752520","18-24","Male","Other","Once a day","Extremely confident","Anything that is too good to be true or out of the blue/overly fiendly","Lack of knowledge about cyber crime and letting their emotions overtake their thinking","It would have to be verifiable in real life","Unless its from someone I know irl I dont answer it","Yes, formal training","2026-04-25 10:48:18"
"20","CQ_69ece0529846b0.40957445","25-34","Female","College / Sixth Form","Almost constantly","Moderately confident","The email address","I think people are so confident in themselves and what they think they know about things online it can led to them not paying attention and taking risks","The name of the company or service makes me feel I trust the source.","If I feel something is off I wonâ€™t respond","No","2026-04-25 15:44:13"
"21","CQ_69ed1eec216105.27153633","25-34","Female","Postgraduate degree","Several times a day","Moderately confident","Spelling mistakes, urgency in the request, AI images, receiving a message from a new number / email claiming to be someone I know ","Multitasking, time pressure, lack of training, scammers evolving their tactics ","The message coming from an official email address, in a format I expect / the same format as previous messages ","By taking into consideration all of the above ","Yes, formal training","2026-04-25 20:10:53"
"22","CQ_69eddc9f141cc0.46994748","25-34","Female","College / Sixth Form","A few times a week","Not confident at all","Unexpected, spelling mistakes, unsure, unknown person","Lack of understanding around online decisions, ","From person you trust, seems in character for them,typical for that person","Not from someone youâ€™re expecting/ unknown person","No","2026-04-26 09:41:37"
"23","CQ_69ee305bbc8049.15260636","25-34","Female","Undergraduate degree","Almost constantly","Very confident","Poor grammar. Not personal. Odd email address.","Not enough education on the matter","Trusted source.","Who it is from","Yes, informal guidance","2026-04-26 15:36:11"
"24","CQ_69f08e62766867.76199213","25-34","Prefer not to say","Undergraduate degree","Almost constantly","Moderately confident","Strange email addresses, time pressure words, stressed urgency, breaches of protocol.","Time and social pressures, lack of awareness.","If it comes from someone I know or am expecting, from an email address or point of contact that I'm aware of.","I normally do it based off my own needs. If I don't know or am not expecting a message from someone, I generally ignore it.","Yes, formal training","2026-04-28 10:42:44"
"25","CQ_69f0916f637861.01670891","18-24","Male","College / Sixth Form","Almost constantly","Very confident","Spelling errors, suspicious links, unexpected messages, messages/ request that seem unreasonably pressureful/ time urgent.","Lack of education/awareness in certain areas.","If I knew/ was expecting it","If I can trust the sendor, recognise the context of the message, whether the link looks suspicious.","Yes, formal training","2026-04-28 10:56:10"
"26","CQ_69f0914a6d8a90.52953764","25-34","Male","Undergraduate degree","Almost constantly","Very confident","Unknown sender. When the subject of the email is unfamiliar. When there are spelling mistakes or poor presentation. When they request unusually detailed information. Unnecessary urgency.","Complacency.","Reassurance of the authenticity of the sender.","Whether I recognise the sender or the subject","Yes, formal training","2026-04-28 11:01:14"
"27","CQ_69f09df6609272.73562816","35-44","Female","Postgraduate degree","Almost constantly","Moderately confident","Poor grammar, poor English, strange look links trying to pass as something more official, generic introduction in email, narrative trying to encourage a sense of urgency","Being made to feel that the situation is urgent, caught when busy, lack of training/familiarisation with social engineering methods.","Known users, having had verbal comms before request, a verification procedure to confirm request within a trusted app.","If I am expecting the request, if I know the user/source (i.e. not a random mobile number)","Yes, formal training","2026-04-28 11:55:06"
"28","CQ_69f0c0acb3df94.51543566","18-24","Male","College / Sixth Form","Almost constantly","Very confident","Excessive urgency, poor grammar/formatting.","Lack of awareness of potential consequences.","If it were an email, having the correct domain name in the latter half of the @, sticking to previous formatting and meeting expectations, i.e not an urgent ""claim NOW"" style of surprise.","If I need to or not really, most emails I get on my personal one are noreply and anything else I ensure is legitimate or not. Work-wise its easier due to filtering and Knowbe4 training.","Unsure","2026-04-28 14:19:21"
"29","CQ_69f2048e809332.19044528","18-24","Male","College / Sixth Form","Several times a day","Moderately confident","Not From a email i Recognise, Bad Grammar, Suspicious links that dont seem to lead where the email says it leads, Spelling mistake in email name, lack of branding / signatures if it says its from a company, if its adressed to me from a company im supposed to have an account with im suspicious if it doesnt say my name or gets my name wrong as the companies i pay subscriptions for etc should have my name already.","lack of knowledge on online safety or desperation if something seems to good to be true and complacency, sometimes emails come from accounts that have the same emails as a big brand but have one letter changed disguising themselves as that company, if People dont pay attention to those names they may click links etc thinking its from the actual company especially if its from a familiar brand like amazon etc that typically send emails everyday when waiting for a product to arrive.","if its from a familiar brand, if its related to stuff ive searched online, if its emails that embody what i typically get from brands.","I dont typically respond or click on things from automated / bot emails, or if they arent personally customised to me,I only typically respond to emails directly adressed / personalised for me.","Yes, formal training","2026-04-29 13:23:09"
"30","CQ_69f207a4605858.80575649","18-24","Female","College / Sixth Form","Almost constantly","Extremely confident","incorrect spelling or grammer, weird email origin, unrelated topics","lack of education or emotional payoff","coming from a normal formatted email, or from a sender i know, relavant or expected content, no urgency or prompting payement","do i need to respond? do i have a timeframe in whcih i need to respond?","Yes, formal training","2026-04-29 13:31:20"
"31","CQ_69f2078fd95941.70934725","18-24","Female","College / Sixth Form","Almost constantly","Very confident","broken english, suspicious links, urgency within the email, unfamiliar tone ","because they either arent educated in the threats online or they arent being vigilant enough","if i had been contacted by them previously","if it looks suspicious i dont repsond","Yes, informal guidance","2026-04-29 13:31:58"
"32","CQ_69f20789c0f306.67648987","18-24","Male","Undergraduate degree","Almost constantly","Very confident","Urgency, a request of the reciptent -especially one that is unsual for the sender. Untrustworthy links. ","People get tired of being secure, and they get a false sense of security from the fact that risks often go unpunished. ","Expecting an email makes me most likely to trust an email and perform actions that could be considered unsafe. ","Depends on the requirements for me, if the action is must be done but i don't trust it i will usually ask for guidance from others. ","Yes, formal training","2026-04-29 13:32:03"
"33","CQ_69f207b27c8b12.96957992","18-24","Male","College / Sixth Form","Several times a day","Very confident","Typo's, Irregular formatting, unrecognised contacts/emails, wrong information","Naivety and sometimes overconfidence. The ""it would never happen to me"" attitude of clicking and downloading things. ","If I had history of genuine emails/texts from that contact and the formatting of the email or text is regular and expected. There is obviously still risk in this due to spoofing capability","I typically ignore anything I am not expecting from anyone I don't know.","Yes, formal training","2026-04-29 13:32:08"
"34","CQ_69f20835dea207.06364994","18-24","Female","Undergraduate degree","Almost constantly","Very confident","If it refers to something i don't engage with e.g. message from a bank I don't use","It takes a lot of time and effort to follow best practice all the time. I think people get fed up with expending all that effort and become more sloppy with their security.","Spelling grammar is correct, it's from someone I know and it concerns a service I use.","I check if it even warrants a response i.e is it asking me to do something or is it just informational? I check spelling, hover over links, check it's addressed directly to me,check the sender's name seems legitimate, and think whether the sender would genuinely ask me to complete the action being asked of me.","Yes, formal training","2026-04-29 13:36:54"
"35","CQ_69f6616d971215.99777066","55-64","Female","Undergraduate degree","A few times a week","Not confident at all","I find it difficult to know what it genuine and what isn't","Sometimes the emails/things I see can look threatening.","If it's from a service I use.","It depends on what they are asking.","No","2026-05-02 20:42:56"
